Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error, ,,,
81,3.747077,81,4.270785,81,4.262542,81,4.27632,1.8735385,2.1353925,2.131271,2.13816
82,3.693861,82,4.271422,82,4.262954,82,4.274977,1.8469305,2.135711,2.131477,2.1374885
83,3.635885,83,4.272062,83,4.263369,83,4.273453,1.8179425,2.136031,2.1316845,2.1367265
84,3.572963,84,4.272707,84,4.263787,84,4.271728,1.7864815,2.1363535,2.1318935,2.135864
85,3.504962,85,4.273354,85,4.264207,85,4.269783,1.752481,2.136677,2.1321035,2.1348915
86,3.431812,86,4.274004,86,4.264629,86,4.267592,1.715906,2.137002,2.1323145,2.133796
87,3.353522,87,4.274655,87,4.265052,87,4.265131,1.676761,2.1373275,2.132526,2.1325655
88,3.270193,88,4.275309,88,4.265476,88,4.262369,1.6350965,2.1376545,2.132738,2.1311845
89,3.182024,89,4.275963,89,4.265901,89,4.259276,1.591012,2.1379815,2.1329505,2.129638
90,3.089321,90,4.276617,90,4.266327,90,4.255816,1.5446605,2.1383085,2.1331635,2.127908
91,2.992497,91,4.277272,91,4.266752,91,4.25195,1.4962485,2.138636,2.133376,2.125975
92,2.892073,92,4.277925,92,4.267178,92,4.247633,1.4460365,2.1389625,2.133589,2.1238165
93,2.788664,93,4.278576,93,4.267602,93,4.242818,1.394332,2.139288,2.133801,2.121409
94,2.682967,94,4.279225,94,4.268025,94,4.237451,1.3414835,2.1396125,2.1340125,2.1187255
95,2.575738,95,4.279871,95,4.268446,95,4.231473,1.287869,2.1399355,2.134223,2.1157365
96,2.46777,96,4.280512,96,4.268865,96,4.22482,1.233885,2.140256,2.1344325,2.11241
97,2.359864,97,4.281148,97,4.269281,97,4.21742,1.179932,2.140574,2.1346405,2.10871
98,2.252801,98,4.281777,98,4.269694,98,4.209193,1.1264005,2.1408885,2.134847,2.1045965
99,2.147316,99,4.282398,99,4.270102,99,4.200054,1.073658,2.141199,2.135051,2.100027
100,2.04408,100,4.283011,100,4.270506,100,4.189908,1.02204,2.1415055,2.135253,2.094954
101,1.943674,101,4.283614,101,4.270904,101,4.178652,0.971837,2.141807,2.135452,2.089326
102,1.846589,102,4.284204,102,4.271295,102,4.166173,0.9232945,2.142102,2.1356475,2.0830865
103,1.753212,103,4.284781,103,4.27168,103,4.152351,0.876606,2.1423905,2.13584,2.0761755
104,1.663831,104,4.285343,104,4.272056,104,4.137055,0.8319155,2.1426715,2.136028,2.0685275
105,1.578637,105,4.285888,105,4.272424,105,4.120145,0.7893185,2.142944,2.136212,2.0600725
106,1.497737,106,4.286413,106,4.272781,106,4.101472,0.7488685,2.1432065,2.1363905,2.050736
107,1.421161,107,4.286917,107,4.273127,107,4.080876,0.7105805,2.1434585,2.1365635,2.040438
108,1.348873,108,4.287396,108,4.273461,108,4.058191,0.6744365,2.143698,2.1367305,2.0290955
109,1.280789,109,4.287848,109,4.273781,109,4.033244,0.6403945,2.143924,2.1368905,2.016622
110,1.21678,110,4.28827,110,4.274086,110,4.005852,0.60839,2.144135,2.137043,2.002926
111,1.156689,111,4.288659,111,4.274375,111,3.975831,0.5783445,2.1443295,2.1371875,1.9879155
112,1.100339,112,4.28901,112,4.274645,112,3.942991,0.5501695,2.144505,2.1373225,1.9714955
113,1.047537,113,4.28932,113,4.274896,113,3.907142,0.5237685,2.14466,2.137448,1.953571
114,0.998085,114,4.289585,114,4.275124,114,3.868096,0.4990425,2.1447925,2.137562,1.934048
115,0.951783,115,4.289799,115,4.275329,115,3.825666,0.4758915,2.1448995,2.1376645,1.912833
116,0.908432,116,4.289957,116,4.275508,116,3.779676,0.454216,2.1449785,2.137754,1.889838
117,0.86784,117,4.290054,117,4.275658,117,3.729958,0.43392,2.145027,2.137829,1.864979
118,0.82982,118,4.290083,118,4.275777,118,3.676359,0.41491,2.1450415,2.1378885,1.8381795
119,0.794195,119,4.290036,119,4.275861,119,3.618747,0.3970975,2.145018,2.1379305,1.8093735
120,0.760797,120,4.289907,120,4.275909,120,3.557014,0.3803985,2.1449535,2.1379545,1.778507
121,0.729467,121,4.289687,121,4.275917,121,3.49108,0.3647335,2.1448435,2.1379585,1.74554
122,0.700058,122,4.289366,122,4.27588,122,3.420906,0.350029,2.144683,2.13794,1.710453
123,0.672431,123,4.288934,123,4.275796,123,3.346494,0.3362155,2.144467,2.137898,1.673247
124,0.646459,124,4.28838,124,4.275659,124,3.267899,0.3232295,2.14419,2.1378295,1.6339495
125,0.622021,125,4.287692,125,4.275465,125,3.185237,0.3110105,2.143846,2.1377325,1.5926185
126,0.599008,126,4.286854,126,4.275209,126,3.098688,0.299504,2.143427,2.1376045,1.549344
127,0.577318,127,4.285854,127,4.274886,127,3.008506,0.288659,2.142927,2.137443,1.504253
128,0.556856,128,4.284674,128,4.27449,128,2.915021,0.278428,2.142337,2.137245,1.4575105
129,0.537537,129,4.283295,129,4.274014,129,2.818639,0.2687685,2.1416475,2.137007,1.4093195
130,0.519279,130,4.281699,130,4.273451,130,2.719843,0.2596395,2.1408495,2.1367255,1.3599215
131,0.502009,131,4.279862,131,4.272793,131,2.619177,0.2510045,2.139931,2.1363965,1.3095885
132,0.485659,132,4.277762,132,4.272032,132,2.51724,0.2428295,2.138881,2.136016,1.25862
133,0.470166,133,4.275371,133,4.271159,133,2.414669,0.235083,2.1376855,2.1355795,1.2073345
134,0.455473,134,4.272662,134,4.270165,134,2.312118,0.2277365,2.136331,2.1350825,1.156059
135,0.441526,135,4.269602,135,4.269038,135,2.210235,0.220763,2.134801,2.134519,1.1051175
136,0.428276,136,4.266156,136,4.267767,136,2.109649,0.214138,2.133078,2.1338835,1.0548245
137,0.415678,137,4.262289,137,4.266339,137,2.010942,0.207839,2.1311445,2.1331695,1.005471
138,0.40369,138,4.257958,138,4.264741,138,1.914639,0.201845,2.128979,2.1323705,0.9573195
139,0.392272,139,4.253119,139,4.262959,139,1.821195,0.196136,2.1265595,2.1314795,0.9105975
140,0.38139,140,4.247725,140,4.260975,140,1.730988,0.190695,2.1238625,2.1304875,0.865494
141,0.371009,141,4.241723,141,4.258773,141,1.644311,0.1855045,2.1208615,2.1293865,0.8221555
142,0.3611,142,4.235059,142,4.256335,142,1.561382,0.18055,2.1175295,2.1281675,0.780691
143,0.351634,143,4.227672,143,4.25364,143,1.48234,0.175817,2.113836,2.12682,0.74117
144,0.342585,144,4.219498,144,4.250667,144,1.407255,0.1712925,2.109749,2.1253335,0.7036275
145,0.333927,145,4.21047,145,4.247392,145,1.336137,0.1669635,2.105235,2.123696,0.6680685
146,0.325639,146,4.200516,146,4.243792,146,1.268944,0.1628195,2.100258,2.121896,0.634472
147,0.317698,147,4.189559,147,4.23984,147,1.205593,0.158849,2.0947795,2.11992,0.6027965
148,0.310086,148,4.177522,148,4.235507,148,1.145965,0.155043,2.088761,2.1177535,0.5729825
149,0.302785,149,4.164322,149,4.230764,149,1.089919,0.1513925,2.082161,2.115382,0.5449595
150,0.295776,150,4.149875,150,4.225579,150,1.037295,0.147888,2.0749375,2.1127895,0.5186475
151,0.289044,151,4.134094,151,4.21992,151,0.987922,0.144522,2.067047,2.10996,0.493961
152,0.282575,152,4.116891,152,4.213751,152,0.941623,0.1412875,2.0584455,2.1068755,0.4708115
153,0.276354,153,4.098178,153,4.207036,153,0.898219,0.138177,2.049089,2.103518,0.4491095
154,0.270369,154,4.077869,154,4.199738,154,0.857532,0.1351845,2.0389345,2.099869,0.428766
